s,d,c
ELLIOTT,HOBERT,52
ELTON,CONCHA,68
ELVIS,AVERY,52
ELVIS,DALTON,76
ELVIS,DARCEY,71
ELVIS,JUDSON,42
ELVIS,LACRESHA,69
ELVIS,ROBBYN,55
ELZA,AVRIL,72
EMIL,NEDA,70
EMIL,RUDOLPH,67
ERICK,TIFANY,50
ETHA,RIVA,78
ETHAN,LYNDON,60
EULAH,SHANIQUA,54
EULAH,YURIKO,63
EURA,LANDON,73
EURA,MARIN,60
EURA,SHIZUE,74
EVIA,BERNA,44
EVIA,CAYLA,47
EVIA,CHING,60
EVIA,LLOYD,49
EZEQUIEL,CHERE,48
EZEQUIEL,DONNELL,42
EZEQUIEL,MARINE,72
EZEQUIEL,RUDOLPH,57
FELIPE,DESHAWN,49
FELIPE,LIANNE,65
FELIPE,SAMUEL,66
FERDINAND,AVRIL,59
FERDINAND,HARVEY,55
FERDINAND,JOETTE,43
FERDINAND,PASTY,61
FIDEL,ALEC,40
FIDEL,SPENCER,72
FLORENCIO,BERTRAM,51
FLORENCIO,HANG,46
FLORRIE,LYNNA,68
FOSTER,KIZZIE,74
FOSTER,LILLI,58
FRANKLIN,CLARETHA,41
FRANKLIN,MYLES,69
FRANSISCA,DEREK,50
FRANSISCA,ELFRIEDA,74
FREDRIC,TATUM,71
GARLAND,DALTON,56
GARLAND,DINO,61
GEORGIANN,AN,57
GEORGIANN,DIDDY,40
GEORGIANN,SOL,71
GEORGIANNE,CHERLYN,77
GERALD,HOBERT,76
GERALD,KEENAN,55
GIDGET,CHING,75
GILMA,RICKI,78
GITA,MILDA,58
GITA,RUBI,41
GOLDEN,JACKSON,75
GRADY,AGRIPINA,46
GRADY,JANIECE,78
GRADY,MARIN,51
GRADY,RIMA,56
GRADY,STEFAN,66
GRADY,TAYNA,70
GRADY,WAYLON,58
GRAHAM,DEREK,79
GRANT,THOMASENA,69
GRANT,WILLIEMAE,47
GREGG,DORETHEA,47
GREGG,SPENCER,79
GRICELDA,ROSENA,60
HANG,FLORENCIO,46
HANS,LATINA,53
HARLAND,JESUSITA,58
HARLAND,LAURAN,57
HARRISON,BRITTANIE,51
HARVEY,FERDINAND,55
HARVEY,JEFFIE,69
HAYDEN,LAVONA,47
HAYDEN,LINO,69
HAYDEN,RONNY,51
HAYDEN,VASHTI,53
HECTOR,LANNIE,44
HECTOR,MAYOLA,46
HEIKE,HIRAM,60
HELAINE,ANNELLE,45
HELAINE,RICKEY,66
HERBERT,DARRIN,76
HERBERT,WYNELL,52
HERMA,SHARILYN,57
HERMILA,SOL,74
HERSCHEL,ABRAHAM,67
HIEDI,SAU,70
HIEN,KAYCEE,67
HIEN,LASHON,65
HIRAM,HEIKE,60
HIRAM,JULIUS,69
HIRAM,LEVI,48
HOBERT,ELLIOTT,52
HOBERT,GERALD,76
HOBERT,SHAWNTA,58
HORACE,STEPHAN,71
HUNG,SHALON,65
HWA,ANTONE,49
HYO,CLARINDA,70
HYO,IVEY,70
HYO,KHALILAH,73
HYO,ROOSEVELT,75
HYO,TARI,58
ISMAEL,MELDA,56
ISMAEL,TOBI,75
IVEY,CALANDRA,75
IVEY,HYO,70
IVEY,LYNDIA,40
IVEY,TISA,64
IZOLA,NEAL,45
JA,BRITTANIE,50
JACELYN,TONEY,40
JACKSON,GOLDEN,75
JACKSON,YER,47
JACOB,ROSY,42
JAKE,ROBBYN,42
JAKE,SCOT,57
JAKE,WINFRED,65
JAMA,STUART,43
JAMAR,MARYLN,63
JAMEE,BARRY,70
JAMEL,CHERE,50
JAMEL,COLENE,41
JANIECE,GRADY,78
JANUARY,ARICA,46
JANUARY,JONAH,66
JANUARY,MONET,60
JARRETT,LORIA,74
JASPER,ADENA,40
JAYNA,LEONTINE,46
JEANMARIE,DARCEY,70
JEANMARIE,SHARILYN,78
JEANMARIE,YUONNE,69
JEFFERSON,KIRSTIE,61
JEFFIE,HARVEY,69
JENAE,KITTIE,56
JENEE,LAREE,43
JENEE,MARINE,72
JERALD,ANTONETTA,46
JERALD,VICENTE,68
JERLENE,CHERLYN,74
JERLENE,NEAL,77
JERLENE,SHANDI,77
JEROME,MARYLN,40
JEROMY,KINA,59
JEROMY,REMONA,41
JEROMY,WILLIEMAE,73
JERRELL,LAKEESHA,48
JERROLD,STEPHAN,64
JESUSITA,HARLAND,58
JOETTE,FERDINAND,43
JOHNATHAN,ALVIN,44
JOHNATHAN,MYLES,64
JOHNETTE,SHANIQUA,45
JOLINE,ROSY,45
JONAH,JANUARY,66
JONATHON,ALFONSO,46
JONATHON,ROBENA,61
JORGE,AMAL,48
JORGE,WILLIEMAE,60
JOSHUA,MALVINA,65
JOSHUA,PAMILA,72
JUDSON,ELVIS,42
JUDSON,MARX,61
JUDSON,MONTY,63
JUDSON,OLIVER,49
JULENE,KAYCEE,43
JULIUS,HIRAM,69
KALYN,ABRAHAM,79
KALYN,WALKER,58
KALYN,YULANDA,65
KAMALA,SHANDI,49
KARISA,EDMUNDO,77
KARISA,LANNIE,42
KARY,LASHON,75
KATELIN,TISA,71
KATELYNN,BREANN,40
KATELYNN,MAX,79
KATELYNN,SONNY,41
KAYCEE,HIEN,67
KAYCEE,JULENE,43
KEENAN,CHING,67
KEENAN,GERALD,55
KEENAN,SENAIDA,48
KEENAN,SHARILYN,74
KENDA,ELIDIA,47
KENNITH,LAINE,40
KENNITH,PROVIDENCIA,47
KETURAH,LATINA,77
KHALILAH,HYO,73
KIMI,BREANN,43
KINA,JEROMY,59
KIP,LOVE,61
KIRSTIE,CHERLYN,57
KIRSTIE,DEREK,52
KIRSTIE,JEFFERSON,61
KIRSTIE,LAVONNA,67
KITTIE,ELIDIA,47
KITTIE,JENAE,56
KITTIE,MARINE,70
KIZZIE,ADENA,68
KIZZIE,FOSTER,74
KRISSY,LUIGI,55
KURT,AURORE,42
KURT,ROSENA,55
KURT,SHARAN,57
KYOKO,ADAH,41
KYOKO,ARMAND,60
LACRESHA,ELVIS,69
LADAWN,SYLVESTER,53
LAINE,BERTRAM,72
LAINE,CAROYLN,70
LAINE,DARRIN,60
LAINE,KENNITH,40
LAINE,ROCKY,66
LAINE,SALLEY,54
LAKEESHA,JERRELL,48
LAKEESHA,NESTOR,58
LAKEESHA,STUART,45
LAKIESHA,COLE,41
LANDON,EURA,73
LANNIE,HECTOR,44
LANNIE,KARISA,42
LANNIE,SENAIDA,72
LAREE,BARRY,74
LAREE,DELMY,74
LAREE,JENEE,43
LAREE,TIFANY,50
LASHAUNDA,VINCENZO,62
LASHAWNDA,ELEONORA,40
LASHAWNDA,RUBI,62
LASHON,HIEN,65
LASHON,KARY,75
LASHON,LAURAN,75
LASHON,LELAND,48
LASHON,SONNY,77
LASHON,YOULANDA,75
LATINA,HANS,53
LATINA,KETURAH,77
LATINA,SHIZUE,75
LATINA,TUPAC,66
LATINA,YULANDA,54
LAURAN,HARLAND,57
LAURAN,LASHON,75
LAURENA,MARQUITTA,60
LAURENA,TARI,66
LAVONA,HAYDEN,47
LAVONE,TARI,45
LAVONNA,KIRSTIE,67
LAVONNA,MYRL,49
LAZARO,DARRIN,78
LAZARO,PORFIRIO,74
LEANDRO,LINO,61
LEANDRO,RACHAL,53
LEIA,TYNISHA,72
LEKISHA,NEDA,65
LELAND,CEOLA,41
LELAND,DONTE,73
LELAND,LASHON,48
LELAND,LINO,61
LELAND,LURLENE,72
LELAND,RUDOLPH,69
LELAND,SHARAN,57
LELAND,TUPAC,55
LEN,TAD,67
LEONEL,ARICA,59
LEONTINE,BILL,77
LEONTINE,JAYNA,46
LEVI,CHERELLE,65
LEVI,HIRAM,48
LIANNE,FELIPE,65
LIBBIE,TRUMAN,56
LILLI,ADRIEN,42
LILLI,FOSTER,58
LILLI,MYRON,77
LILLIA,DELCIE,44
LILLIANA,LYNDIA,50
LINCOLN,LUIGI,43
LINCOLN,MERLIN,57
LINO,BEN,42
LINO,HAYDEN,69
LINO,LEANDRO,61
LINO,LELAND,61
LLOYD,BOB,54
LLOYD,EVIA,49
LLOYD,MELODI,64
LORALEE,ROSY,68
LORIA,BARABARA,45
LORIA,JARRETT,74
LORIA,RAISA,46
LORIA,RICKI,63
LORIA,SHANDI,48
LOVE,ABRAHAM,47
LOVE,KIP,61
LOVE,PARKER,75
LOVETTA,CONCHA,61
LUIGI,KRISSY,55
LUIGI,LINCOLN,43
LUIGI,TIFANY,41
LURLENE,ARLEN,43
LURLENE,LELAND,72
LYNDIA,IVEY,40
LYNDIA,LILLIANA,50
LYNDON,ETHAN,60
LYNDON,YER,59
LYNNA,FLORRIE,68
LYNNA,REED,72
LYNNA,RUDOLPH,69
LYNNA,SAU,62
MADDIE,ANNELLE,72
MALVINA,JOSHUA,65
MALVINA,MARIELLE,54
MALVINA,SHALON,59
MALVINA,SOL,77
MARAGARET,CLARINDA,54
MARGY,DARELL,68
MARIELLA,MARYETTA,61
MARIELLA,SHANAE,56
MARIELLE,BRITTNY,54
MARIELLE,CHRISTOPER,55
MARIELLE,MALVINA,54
MARIELLE,ORVILLE,53
MARIELLE,SYLVESTER,65
MARIN,CHERELLE,53
MARIN,EURA,60
MARIN,GRADY,51
MARINE,BLAKE,45
MARINE,EZEQUIEL,72
MARINE,JENEE,72
MARINE,KITTIE,70
MARINE,SHERLENE,58
MARLIN,RAYMUNDO,60
MARQUIS,PEDRO,74
MARQUIS,YER,50
MARQUITTA,EILENE,49
MARQUITTA,LAURENA,60
MARX,JUDSON,61
MARYETTA,BRITTANIE,64
MARYETTA,MARIELLA,61
MARYLN,CLARINDA,76
MARYLN,JAMAR,63
MARYLN,JEROME,40
MARYLYNN,SOL,53
MARYROSE,NOLAN,61
MAX,ABRAM,79
MAX,KATELYNN,79
MAX,SHERRIL,75
MAYOLA,HECTOR,46
MAYOLA,VERNIA,66
MEL,SAU,56
MELDA,BERTRAM,75
MELDA,ISMAEL,56
MELDA,WILLETTA,68
MELODI,LLOYD,64
MERLIN,LINCOLN,57
MIKE,OLENE,57
MILDA,DESPINA,61
MILDA,GITA,58
MILLY,ELFRIEDA,53
MISHA,TAREN,79
MITCH,REMONA,57
MITSUKO,AVRIL,65
MONET,JANUARY,60
MONTY,JUDSON,63
MONTY,YAEKO,62
MUOI,NEDA,58
MYLES,FRANKLIN,69
MYLES,JOHNATHAN,64
MYLES,SHIZUE,75
MYRL,LAVONNA,49
MYRON,ARON,53
MYRON,LILLI,77
MYRON,RUDOLPH,63
NEAL,IZOLA,45
NEAL,JERLENE,77
NEAL,OLENE,78
NEAL,TUPAC,54
NEDA,EMIL,70
NEDA,LEKISHA,65
NEDA,MUOI,58
NEDA,RUPERT,54
NENITA,ORLANDO,78
NENITA,SHONDRA,67
NESTOR,ANNIKA,57
NESTOR,LAKEESHA,58
NESTOR,ROBERTO,79
NESTOR,SONNY,52
NESTOR,SPENCER,66
NICHOLLE,AVRIL,66
NICHOLLE,DELCIE,40
NOLAN,BRITTENY,52
NOLAN,CARLOS,46
NOLAN,CINDIE,50
NOLAN,MARYROSE,61
NOLAN,SAGE,54
NOLAN,VON,77
NORBERT,BUENA,53
NUBIA,SHARAN,53
OLENE,MIKE,57
OLENE,NEAL,78
OLIVER,JUDSON,49
ORLANDO,NENITA,78
ORVILLE,MARIELLE,53
OSCAR,ROBBYN,55
OZELL,TATUM,48
PAMILA,JOSHUA,72
PARKER,LOVE,75
PASTY,FERDINAND,61
PEDRO,MARQUIS,74
PERCY,TUPAC,61
PERCY,WILTON,64
PORFIRIO,ANTONE,70
PORFIRIO,LAZARO,74
PROVIDENCIA,KENNITH,47
RACHAL,LEANDRO,53
RAELENE,ARON,45
RAISA,LORIA,46
RAYMUNDO,MARLIN,60
RAYMUNDO,YOULANDA,73
REED,CALVIN,56
REED,LYNNA,72
REGGIE,WILLIAMS,41
REMONA,JEROMY,41
REMONA,MITCH,57
RESSIE,YASMINE,66
RICARDO,ARLEN,77
RICKEY,DESPINA,67
RICKEY,HELAINE,66
RICKI,GILMA,78
RICKI,LORIA,63
RICKY,ROCKY,61
RICKY,VAUGHN,50
RIGOBERTO,ANNELLE,56
RILEY,YER,69
RIMA,GRADY,56
RIVA,ETHA,78
RIVA,RUBI,43
ROB,WILTON,41
ROBBYN,BROCK,66
ROBBYN,ELVIS,55
ROBBYN,JAKE,42
ROBBYN,OSCAR,55
ROBENA,JONATHON,61
ROBERTO,NESTOR,79
ROCKY,LAINE,66
ROCKY,RICKY,61
RODERICK,WILLOW,53
ROGER,RUPERT,66
ROGER,SHAKIA,45
RONNY,HAYDEN,51
ROOSEVELT,BERTRAM,76
ROOSEVELT,HYO,75
ROSENA,BERTRAM,47
ROSENA,GRICELDA,60
ROSENA,KURT,55
ROSENA,ZADA,60
ROSENDA,TUPAC,41
ROSY,JACOB,42
ROSY,JOLINE,45
ROSY,LORALEE,68
ROSY,RUPERT,48
RUBI,GITA,41
RUBI,LASHAWNDA,62
RUBI,RIVA,43
RUDOLPH,BERTRAM,78
RUDOLPH,EMIL,67
RUDOLPH,EZEQUIEL,57
RUDOLPH,LELAND,69
RUDOLPH,LYNNA,69
RUDOLPH,MYRON,63
RUPERT,BENNETT,40
RUPERT,COLE,55
RUPERT,NEDA,54
RUPERT,ROGER,66
RUPERT,ROSY,48
RUPERT,VINCENZO,53
RUPERT,YER,49
RUTHE,DEREK,76
SAGE,CATRICE,73
SAGE,NOLAN,54
SAGE,SHIZUE,74
SAGE,SHONDRA,64
SAGE,SPENCER,59
SALLEY,LAINE,54
SAMUEL,FELIPE,66
SARAI,BILL,52
SAU,HIEDI,70
SAU,LYNNA,62
SAU,MEL,56
SAU,TERRILYN,63
SAUL,BUENA,46
SCOT,JAKE,57
SENA,BUENA,64
SENAIDA,BERTRAM,45
SENAIDA,KEENAN,48
SENAIDA,LANNIE,72
SENAIDA,SYLVESTER,42
SENAIDA,VIKI,67
SHAKIA,ROGER,45
SHALON,ARNETTE,77
SHALON,DEANDREA,43
SHALON,HUNG,65
SHALON,MALVINA,59
SHANAE,MARIELLA,56
SHANDI,JERLENE,77
SHANDI,KAMALA,49
SHANDI,LORIA,48
SHANIQUA,EULAH,54
SHANIQUA,JOHNETTE,45
SHANIQUA,SHONDRA,78
SHARAN,KURT,57
SHARAN,LELAND,57
SHARAN,NUBIA,53
SHARAN,TYNISHA,55
SHARELL,DONTE,77
SHARILYN,HERMA,57
SHARILYN,JEANMARIE,78
SHARILYN,KEENAN,74
SHAUNTE,VASHTI,73
SHAWANNA,AVERY,48
SHAWNTA,HOBERT,58
SHAYNE,ARICA,75
SHAYNE,BRITTANIE,71
SHERA,TUPAC,42
SHERLENE,MARINE,58
SHERRIL,MAX,75
SHIZUE,EURA,74
SHIZUE,LATINA,75
SHIZUE,MYLES,75
SHIZUE,SAGE,74
SHIZUE,TATUM,60
SHIZUE,THI,79
SHONDRA,NENITA,67
SHONDRA,SAGE,64
SHONDRA,SHANIQUA,78
SHONDRA,VINCE,78
SOL,GEORGIANN,71
SOL,HERMILA,74
SOL,MALVINA,77
SOL,MARYLYNN,53
SONNY,BLAKE,51
SONNY,DACIA,54
SONNY,KATELYNN,41
SONNY,LASHON,77
SONNY,NESTOR,52
SPENCER,ADENA,63
SPENCER,FIDEL,72
SPENCER,GREGG,79
SPENCER,NESTOR,66
SPENCER,SAGE,59
STASIA,VON,67
STEFAN,GRADY,66
STEPHAN,HORACE,71
STEPHAN,JERROLD,64
STEPHAN,WILLIEMAE,44
STEPHANIA,BRITTNY,45
STUART,JAMA,43
STUART,LAKEESHA,45
SVETLANA,BROCK,77
SVETLANA,THORA,51
SYLVESTER,LADAWN,53
SYLVESTER,MARIELLE,65
SYLVESTER,SENAIDA,42
SYLVESTER,TAREN,66
TAD,BUENA,45
TAD,CLEMENTE,58
TAD,LEN,67
TAMA,BUENA,43
TAMA,DARRIN,78
TAMA,DESHAWN,78
TAMA,TUPAC,77
TAREN,MISHA,79
TAREN,SYLVESTER,66
TARI,HYO,58
TARI,LAURENA,66
TARI,LAVONE,45
TARI,TYNISHA,52
TARI,WILLIAN,76
TATUM,FREDRIC,71
TATUM,OZELL,48
TATUM,SHIZUE,60
TAYNA,GRADY,70
TED,AMAL,62
TED,BURL,49
TERRILYN,ARICA,49
TERRILYN,SAU,63
THADDEUS,ARICA,77
THI,SHIZUE,79
THOMASENA,GRANT,69
THORA,SVETLANA,51
TIFANY,CARRY,50
TIFANY,ERICK,50
TIFANY,LAREE,50
TIFANY,LUIGI,41
TIFANY,VIRGEN,63
TISA,IVEY,64
TISA,KATELIN,71
TOBI,ISMAEL,75
TONEY,AVRIL,42
TONEY,CINDIE,63
TONEY,CLARIS,69
TONEY,JACELYN,40
TRUMAN,DONTE,59
TRUMAN,LIBBIE,56
TUPAC,ANNELLE,74
TUPAC,LATINA,66
TUPAC,LELAND,55
TUPAC,NEAL,54
TUPAC,PERCY,61
TUPAC,ROSENDA,41
TUPAC,SHERA,42
TUPAC,TAMA,77
TYNISHA,LEIA,72
TYNISHA,SHARAN,55
TYNISHA,TARI,52
TYREE,DESHAWN,56
TYSON,BRITTANIE,73
VASHTI,HAYDEN,53
VASHTI,SHAUNTE,73
VAUGHN,RICKY,50
VERNIA,DINORAH,66
VERNIA,MAYOLA,66
VERNIA,ZACHARY,63
VI,ADOLFO,62
VICENTE,JERALD,68
VICENTE,WILLIAMS,43
VIKI,SENAIDA,67
VINCE,SHONDRA,78
VINCENZO,LASHAUNDA,62
VINCENZO,RUPERT,53
VIRGEN,TIFANY,63
VON,CATHERYN,58
VON,NOLAN,77
VON,STASIA,67
WALKER,KALYN,58
WAYLON,CARTER,62
WAYLON,GRADY,58
WILLETTA,ADAH,79
WILLETTA,ADOLFO,62
WILLETTA,MELDA,68
WILLIAMS,REGGIE,41
WILLIAMS,VICENTE,43
WILLIAN,TARI,76
WILLIEMAE,ALFRED,65
WILLIEMAE,CHERE,42
WILLIEMAE,GRANT,47
WILLIEMAE,JEROMY,73
WILLIEMAE,JORGE,60
WILLIEMAE,STEPHAN,44
WILLOW,BRITTENY,40
WILLOW,RODERICK,53
WILTON,PERCY,64
WILTON,ROB,41
WINFRED,JAKE,65
WYNELL,DARCEL,67
WYNELL,HERBERT,52
XIAO,DORETHEA,40
YAEKO,DONTE,45
YAEKO,MONTY,62
YASMINE,BUENA,74
YASMINE,RESSIE,66
YER,CONCHA,58
YER,JACKSON,47
YER,LYNDON,59
YER,MARQUIS,50
YER,RILEY,69
YER,RUPERT,49
YOULANDA,ELEONORA,67
YOULANDA,LASHON,75
YOULANDA,RAYMUNDO,73
YULANDA,CESAR,53
YULANDA,KALYN,65
YULANDA,LATINA,54
YUONNE,JEANMARIE,69
YURIKO,ED,49
YURIKO,EULAH,63
ZACHARY,VERNIA,63
ZACK,DALTON,40
ZADA,ROSENA,60
