rural,0 0 2 2 2
boral,0 2 2 2 2
coral,0 2 2 2 2
viers,0 0 1 1 2
ferns,0 1 1 0 2
arses,0 1 0 2 2
roles,2 0 2 2 2
cuddy,0 1 1 0 0
drubs,1 0 2 0 1
squid,2 0 2 0 2
slued,2 0 2 0 2
newly,0 0 0 0 0
voids,0 1 0 0 0
brock,1 0 2 0 0
aboma,2 2 2 0 0
tarty,1 0 1 0 0
citer,0 2 1 0 1
